field_id,common_name,species_name,family,order,common_group,sp_code,,master_trawl,notes,Common group sorting order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gobiosoma,goby spp.,Gobiosoma spp.,Gobiidae,Perciformes,Pisces,Gobios spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomtate,tomtate,Haemulon aurolineatum,Haemulidae,Perciformes,Pisces,Hae aur,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grunt,"grunt, white ",Haemulon plumieri,Haemulidae,Perciformes,Pisces,Hae plu,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unid grunt?,unid grunt,,Haemulidae,Perciformes,Pisces,Haemulidae,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pigfish,pigfish,Orthopritis chrysoptera,Haemulidae,Perciformes,Pisces,Ort chr,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballyhoo,ballyhoo,Hemiramphus barsiliensis,Hemiramphidae,Beloniformes,Pisces,Hem bar,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slippery dick,slippery dick,Halichoeres bivittatus,Labridae,Perciformes,Pisces,Hal biv,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hogfish,hogfish,Lachnolaimus maximus,Labridae,Perciformes,Pisces,Lac max,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tautog,tautog,Tautoga onitis,Labridae,Perciformes,Pisces,Tau oni,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pearly razorfish,"razorfish, pearly",Xyrichtys novacula,Labridae,Perciformes,Pisces,Xyr nov,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alligator gar,"gar, alligator",Atractosteus spatula,Lepisosteidae,Lepiosteiformes,Pisces,Ata spa,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red snapper,"snapper, red",Lutjanus campechanus,Lutjanidae,Perciformes,Pisces,Lut cam,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowtail snapper,"snapper, yellowtail ",Lutjanus chrysurus,Lutjanidae,Perciformes,Pisces,Lut chr,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray snapper,"snapper, gray ",Lutjanus griseus,Lutjanidae,Perciformes,Pisces,Lut gri,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutton snapper,"snapper, mutton",Lutjanus analis,Lutjanidae,Perciformes,Pisces,Lut ana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snapper,"snapper, spp.",Lutjanus spp.,Lutjanidae,Perciformes,Pisces,Lut spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lane snapper,"snapper, lane ",Lutjanus synagris,Lutjanidae,Perciformes,Pisces,Lut syn,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarpon,"tarpon, atlantic",Megalops atlanticus,Megalopidae,,Pisces,Meg atl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dotterel filefish,"filefish, dotterel ",Aluterus heudelotii,Monacanthidae,Tetraodontiformes,Pisces,Alu heu,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange filefish,"filefish, orange ",Aluterus schoepfii,Monacanthidae,Tetraodontiformes,Pisces,Alu sch,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrawled filefish,"filefish, scrawled ",Aluterus scriptus,Monacanthidae,Tetraodontiformes,Pisces,Alu scr,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fringed filefish,"filefish, fringed",Monacanthus setifer,Monacanthidae,Tetraodontiformes,Pisces,Mon set,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filefish,"filefish, unid spp.",,Monacanthidae,Tetraodontiformes,Pisces,Monacanthidae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
planehead filefish,"filefish, planehead",Stephanolepis hispidus,Monacanthidae,Tetraodontiformes,Pisces,Ste his,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pygmy filefish,"filefish, pygmy ",Stephanolepis setifer,Monacanthidae,Tetraodontiformes,Pisces,Ste set,,X,aka: Monacanthus setifer; added to trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
